customer_id,customer_name,email,city,state,signup_date,customer_segment_x,recency_days,frequency,monetary,rfm_total,customer_segment_y
C00085,Vivaan Verma,vivaan.verma85@example.com,Aligarh,Uttar Pradesh,2023-08-22,Regular,,,,,
C00086,Pari Pillai,pari.pillai86@example.com,Kochi,Kerala,2022-06-11,Regular,79.0,8.0,80980.48,10.0,At Risk (was loyal)
C00087,Pari Gupta,pari.gupta87@example.com,Delhi,Delhi,2024-05-21,Regular,,,,,
C00088,Aditya Shah,aditya.shah88@example.com,Chennai,Tamil Nadu,2022-03-11,Regular,621.0,1.0,8496.61,7.0,New / Promising
C00089,Saanvi Reddy,saanvi.reddy89@example.com,Pune,Maharashtra,2024-08-22,VIP,,,,,
C00090,Ira Shah,ira.shah90@example.com,Pune,Maharashtra,2022-02-10,New,71.0,5.0,49661.65,10.0,At Risk (was loyal)
C00091,Aadhya Kulkarni,aadhya.kulkarni91@example.com,Bengaluru,Karnataka,2023-08-02,Regular,,,,,
C00092,Ananya Rao,ananya.rao92@example.com,Chandigarh,Chandigarh,2022-07-29,Loyal,439.0,5.0,60826.85,12.0,Champions
C00093,Sai Rao,sai.rao93@example.com,Aligarh,Uttar Pradesh,2023-02-10,Regular,467.0,2.0,46793.82,11.0,Champions
C00094,Karan Mehta,karan.mehta94@example.com,Ahmedabad,Gujarat,2023-04-14,Regular,192.0,5.0,63984.8,11.0,Champions
C00095,Meera Gupta,meera.gupta95@example.com,Aligarh,Uttar Pradesh,2022-01-10,Loyal,,,,,
C00096,Sara Kulkarni,sara.kulkarni96@example.com,Patna,Bihar,2022-04-13,VIP,,,,,
C00097,Riya Singh,riya.singh97@example.com,Bengaluru,Karnataka,2023-06-03,New,37.0,4.0,35772.7,8.0,At Risk (was loyal)
C00098,Arjun Malhotra,arjun.malhotra98@example.com,Jaipur,Rajasthan,2024-06-21,VIP,8.0,1.0,3096.22,3.0,Lost / Churned
C00099,Nikhil Patel,nikhil.patel99@example.com,Bengaluru,Karnataka,2023-01-14,Regular,388.0,1.0,215.99,6.0,New / Promising
C00100,Reyansh Das,reyansh.das100@example.com,Lucknow,Uttar Pradesh,2024-05-03,New,,,,,
C00101,Neha Mehta,neha.mehta101@example.com,Coimbatore,Tamil Nadu,2023-09-19,Regular,293.0,1.0,2271.81,5.0,New / Promising
C00102,Aarav Agarwal,aarav.agarwal102@example.com,Chandigarh,Chandigarh,2022-11-03,VIP,,,,,
C00103,Nikhil Iyer,nikhil.iyer103@example.com,Hyderabad,Telangana,2022-09-28,Regular,172.0,4.0,33563.09,9.0,At Risk (was loyal)
C00104,Nikhil Reddy,nikhil.reddy104@example.com,Hyderabad,Telangana,2024-01-31,New,,,,,
C00105,Arjun Rao,arjun.rao105@example.com,Coimbatore,Tamil Nadu,2022-10-16,Regular,307.0,2.0,17738.94,8.0,New / Promising
C00106,Neha Kapoor,neha.kapoor106@example.com,Kolkata,West Bengal,2022-07-28,New,237.0,5.0,105761.44,11.0,Champions
C00107,Pari Bose,pari.bose107@example.com,Jaipur,Rajasthan,2022-09-15,New,212.0,4.0,28697.41,10.0,Champions
C00108,Aditya Chopra,aditya.chopra108@example.com,Delhi,Delhi,2024-04-29,New,25.0,1.0,6755.25,3.0,Lost / Churned
C00109,Vivaan Sharma,vivaan.sharma109@example.com,Jaipur,Rajasthan,2022-12-08,New,202.0,5.0,33482.56,10.0,Champions
C00110,Rohan Rao,rohan.rao110@example.com,Ahmedabad,Gujarat,2022-06-15,New,210.0,2.0,9221.36,7.0,New / Promising
C00111,Riya Chopra,riya.chopra111@example.com,Patna,Bihar,2023-07-29,New,57.0,1.0,1960.89,4.0,Lost / Churned
C00112,Vihaan Gupta,vihaan.gupta112@example.com,Mumbai,Maharashtra,2024-08-25,Regular,,,,,
C00113,Riya Verma,riya.verma113@example.com,Ahmedabad,Gujarat,2024-05-04,New,,,,,
C00114,Ira Agarwal,ira.agarwal114@example.com,Surat,Gujarat,2022-06-01,New,,,,,
C00115,Arjun Verma,arjun.verma115@example.com,Nagpur,Maharashtra,2022-11-12,Loyal,577.0,3.0,75935.35,11.0,Champions
C00116,Nikhil Verma,nikhil.verma116@example.com,Surat,Gujarat,2024-07-09,Regular,,,,,
C00117,Ishaan Patel,ishaan.patel117@example.com,Surat,Gujarat,2023-11-14,Regular,225.0,1.0,463.28,5.0,New / Promising
C00118,Diya Agarwal,diya.agarwal118@example.com,Hyderabad,Telangana,2024-06-24,New,,,,,
C00119,Sara Iyer,sara.iyer119@example.com,Nagpur,Maharashtra,2024-08-05,New,,,,,
C00120,Kavya Nair,kavya.nair120@example.com,Pune,Maharashtra,2024-09-26,New,69.0,1.0,8825.92,5.0,Lost / Churned
C00121,Nikhil Chopra,nikhil.chopra121@example.com,Chennai,Tamil Nadu,2022-01-26,New,189.0,4.0,69981.21,11.0,Champions
C00122,Pooja Kapoor,pooja.kapoor122@example.com,Chennai,Tamil Nadu,2024-03-12,New,79.0,2.0,16030.66,6.0,Lost / Churned
C00123,Sunil Patel,sunil.patel123@example.com,Nagpur,Maharashtra,2022-10-01,New,373.0,4.0,11078.5,9.0,Regular
C00124,Sunil Reddy,sunil.reddy124@example.com,Chennai,Tamil Nadu,2023-01-27,New,329.0,3.0,29728.31,9.0,Champions
C00125,Kavya Bose,kavya.bose125@example.com,Delhi,Delhi,2022-08-16,New,637.0,2.0,3352.33,7.0,New / Promising
C00126,Priya Das,priya.das126@example.com,Kolkata,West Bengal,2022-12-25,Regular,243.0,6.0,35524.6,10.0,Champions
C00127,Priya Patel,priya.patel127@example.com,Lucknow,Uttar Pradesh,2022-08-17,New,119.0,2.0,64832.76,9.0,At Risk (was loyal)
C00128,Karan Singh,karan.singh128@example.com,Mumbai,Maharashtra,2023-02-13,Regular,,,,,
C00129,Krishna Gupta,krishna.gupta129@example.com,Aligarh,Uttar Pradesh,2024-09-17,Regular,14.0,1.0,4752.07,3.0,Lost / Churned
C00130,Diya Pillai,diya.pillai130@example.com,Jaipur,Rajasthan,2023-02-14,Regular,45.0,4.0,19048.17,7.0,At Risk (was loyal)
C00131,Ananya Sharma,ananya.sharma131@example.com,Coimbatore,Tamil Nadu,2022-04-29,New,133.0,6.0,29240.06,9.0,At Risk (was loyal)
C00132,Reyansh Kulkarni,reyansh.kulkarni132@example.com,Jaipur,Rajasthan,2024-09-12,Loyal,,,,,
C00133,Vivaan Reddy,vivaan.reddy133@example.com,Jaipur,Rajasthan,2023-09-03,Regular,21.0,2.0,24052.04,6.0,Lost / Churned
C00134,Diya Kapoor,diya.kapoor134@example.com,Nagpur,Maharashtra,2023-03-23,New,212.0,7.0,27187.2,10.0,Champions
C00135,Vihaan Joshi,vihaan.joshi135@example.com,Chandigarh,Chandigarh,2024-07-10,Loyal,8.0,1.0,7322.1,4.0,Lost / Churned
C00136,Krishna Verma,krishna.verma136@example.com,Kolkata,West Bengal,2023-12-27,VIP,43.0,2.0,13672.68,5.0,Lost / Churned
C00137,Aarav Pillai,aarav.pillai137@example.com,Nagpur,Maharashtra,2024-08-05,New,,,,,
C00138,Karan Singh,karan.singh138@example.com,Coimbatore,Tamil Nadu,2023-01-08,New,241.0,5.0,35434.68,10.0,Champions
C00139,Aditya Kapoor,aditya.kapoor139@example.com,Nagpur,Maharashtra,2023-10-01,Loyal,231.0,1.0,887.41,5.0,New / Promising
C00140,Karan Reddy,karan.reddy140@example.com,Aligarh,Uttar Pradesh,2024-01-08,Loyal,317.0,1.0,18321.48,7.0,New / Promising
C00141,Pari Mehta,pari.mehta141@example.com,Lucknow,Uttar Pradesh,2023-11-14,New,311.0,1.0,3368.3,5.0,New / Promising
C00142,Ananya Joshi,ananya.joshi142@example.com,Nagpur,Maharashtra,2023-12-15,New,,,,,
C00143,Riya Iyer,riya.iyer143@example.com,Lucknow,Uttar Pradesh,2022-07-16,Regular,18.0,8.0,197120.01,9.0,At Risk (was loyal)
C00144,Karan Joshi,karan.joshi144@example.com,Nagpur,Maharashtra,2023-11-25,Regular,241.0,1.0,1395.26,5.0,New / Promising
C00145,Sara Kulkarni,sara.kulkarni145@example.com,Chennai,Tamil Nadu,2022-11-05,Regular,514.0,5.0,86572.11,12.0,Champions
C00146,Riya Sharma,riya.sharma146@example.com,Indore,Madhya Pradesh,2022-11-08,Regular,10.0,4.0,54736.77,9.0,At Risk (was loyal)
C00147,Ishaan Chopra,ishaan.chopra147@example.com,Lucknow,Uttar Pradesh,2024-03-15,Regular,,,,,
C00148,Myra Das,myra.das148@example.com,Aligarh,Uttar Pradesh,2023-03-29,Loyal,198.0,3.0,14264.48,8.0,Regular
C00149,Pari Bose,pari.bose149@example.com,Kolkata,West Bengal,2024-03-23,New,,,,,
C00150,Karan Gupta,karan.gupta150@example.com,Chennai,Tamil Nadu,2022-10-18,New,3.0,5.0,29388.83,8.0,At Risk (was loyal)
C00151,Karan Shah,karan.shah151@example.com,Chandigarh,Chandigarh,2022-12-10,Loyal,627.0,1.0,1474.07,6.0,New / Promising
C00152,Priya Patel,priya.patel152@example.com,Bengaluru,Karnataka,2023-11-20,Loyal,129.0,3.0,20967.53,8.0,At Risk (was loyal)
C00153,Sai Singh,sai.singh153@example.com,Lucknow,Uttar Pradesh,2022-05-31,Regular,658.0,2.0,8750.41,8.0,New / Promising
C00154,Vivaan Patel,vivaan.patel154@example.com,Mumbai,Maharashtra,2023-05-02,Regular,58.0,4.0,72480.49,10.0,At Risk (was loyal)
C00155,Myra Chopra,myra.chopra155@example.com,Bengaluru,Karnataka,2024-06-26,New,,,,,
C00156,Neha Joshi,neha.joshi156@example.com,Kolkata,West Bengal,2023-05-22,Regular,,,,,
C00157,Sai Iyer,sai.iyer157@example.com,Indore,Madhya Pradesh,2023-11-03,Regular,120.0,2.0,35916.06,7.0,Lost / Churned
C00158,Nikhil Reddy,nikhil.reddy158@example.com,Mumbai,Maharashtra,2024-03-08,New,21.0,2.0,5968.85,4.0,Lost / Churned
C00159,Sai Nair,sai.nair159@example.com,Nagpur,Maharashtra,2024-04-03,New,38.0,1.0,1175.86,3.0,Lost / Churned
C00160,Myra Verma,myra.verma160@example.com,Chandigarh,Chandigarh,2023-07-25,Regular,,,,,
C00161,Meera Reddy,meera.reddy161@example.com,Pune,Maharashtra,2023-04-13,New,317.0,4.0,38050.47,10.0,Champions
C00162,Sunil Das,sunil.das162@example.com,Ahmedabad,Gujarat,2023-11-15,New,,,,,
C00163,Riya Shah,riya.shah163@example.com,Chandigarh,Chandigarh,2022-11-21,New,383.0,3.0,46841.66,11.0,Champions
C00164,Sara Pillai,sara.pillai164@example.com,Patna,Bihar,2023-03-13,New,376.0,1.0,19891.97,8.0,New / Promising
C00165,Myra Nair,myra.nair165@example.com,Coimbatore,Tamil Nadu,2024-02-01,New,75.0,2.0,5721.43,5.0,Lost / Churned
C00166,Myra Rao,myra.rao166@example.com,Kochi,Kerala,2024-02-09,Loyal,73.0,1.0,4494.03,4.0,Lost / Churned
C00167,Priya Rao,priya.rao167@example.com,Pune,Maharashtra,2024-02-24,Regular,173.0,3.0,12880.69,7.0,At Risk (was loyal)
C00168,Anika Patel,anika.patel168@example.com,Chandigarh,Chandigarh,2022-10-09,Regular,314.0,3.0,12582.08,8.0,Regular
C00169,Aditya Mehta,aditya.mehta169@example.com,Patna,Bihar,2022-08-29,Loyal,201.0,4.0,14720.56,8.0,Regular
C00170,Ananya Kapoor,ananya.kapoor170@example.com,Jaipur,Rajasthan,2024-07-03,Regular,,,,,
C00171,Aditya Iyer,aditya.iyer171@example.com,Coimbatore,Tamil Nadu,2022-06-04,New,175.0,4.0,21100.23,9.0,At Risk (was loyal)
C00172,Saanvi Iyer,saanvi.iyer172@example.com,Pune,Maharashtra,2023-12-25,Regular,213.0,1.0,2815.41,5.0,New / Promising
C00173,Aditya Chopra,aditya.chopra173@example.com,Kolkata,West Bengal,2023-02-22,Regular,189.0,2.0,31854.63,8.0,New / Promising
C00174,Riya Das,riya.das174@example.com,Aligarh,Uttar Pradesh,2023-03-02,Loyal,64.0,5.0,30338.25,9.0,At Risk (was loyal)
C00175,Ishaan Chopra,ishaan.chopra175@example.com,Delhi,Delhi,2023-02-03,Regular,419.0,3.0,59905.78,11.0,Champions
C00176,Kavya Kulkarni,kavya.kulkarni176@example.com,Mumbai,Maharashtra,2023-01-25,New,66.0,3.0,8800.88,7.0,At Risk (was loyal)
C00177,Aarav Malhotra,aarav.malhotra177@example.com,Kochi,Kerala,2022-11-02,New,7.0,2.0,14073.4,5.0,Lost / Churned
C00178,Kavya Chopra,kavya.chopra178@example.com,Indore,Madhya Pradesh,2023-07-06,Regular,,,,,
C00179,Sunil Shah,sunil.shah179@example.com,Coimbatore,Tamil Nadu,2024-07-08,Regular,,,,,
C00180,Anika Patel,anika.patel180@example.com,Pune,Maharashtra,2022-10-07,Regular,74.0,6.0,41592.93,10.0,At Risk (was loyal)
C00181,Anika Sharma,anika.sharma181@example.com,Nagpur,Maharashtra,2023-02-03,Regular,405.0,1.0,52438.99,10.0,New / Promising
C00182,Karan Joshi,karan.joshi182@example.com,Aligarh,Uttar Pradesh,2024-01-12,VIP,49.0,1.0,7457.79,4.0,Lost / Churned
C00183,Priya Das,priya.das183@example.com,Chennai,Tamil Nadu,2024-07-30,Regular,,,,,
C00184,Sara Agarwal,sara.agarwal184@example.com,Ahmedabad,Gujarat,2022-01-28,New,36.0,5.0,54239.24,9.0,At Risk (was loyal)
C00185,Ira Kulkarni,ira.kulkarni185@example.com,Indore,Madhya Pradesh,2023-11-10,New,3.0,1.0,15944.22,4.0,Lost / Churned
C00186,Aditya Chopra,aditya.chopra186@example.com,Mumbai,Maharashtra,2022-05-19,New,205.0,8.0,124793.2,11.0,Champions
C00187,Reyansh Verma,reyansh.verma187@example.com,Patna,Bihar,2022-09-24,New,326.0,4.0,11373.16,8.0,Regular
C00188,Ananya Singh,ananya.singh188@example.com,Indore,Madhya Pradesh,2023-04-11,New,,,,,
C00189,Ananya Joshi,ananya.joshi189@example.com,Aligarh,Uttar Pradesh,2022-10-12,New,52.0,1.0,6195.75,4.0,Lost / Churned
C00190,Krishna Gupta,krishna.gupta190@example.com,Nagpur,Maharashtra,2023-04-27,New,333.0,2.0,11999.3,7.0,New / Promising
C00191,Pooja Agarwal,pooja.agarwal191@example.com,Mumbai,Maharashtra,2022-02-23,New,207.0,6.0,104967.96,11.0,Champions
C00192,Sai Gupta,sai.gupta192@example.com,Surat,Gujarat,2024-03-10,Loyal,,,,,
C00193,Amit Sharma,amit.sharma193@example.com,Delhi,Delhi,2024-08-30,New,6.0,1.0,5728.06,3.0,Lost / Churned
C00194,Ishaan Sharma,ishaan.sharma194@example.com,Pune,Maharashtra,2023-09-29,Regular,47.0,2.0,5596.05,4.0,Lost / Churned
C00195,Sai Iyer,sai.iyer195@example.com,Ahmedabad,Gujarat,2023-04-30,Regular,531.0,1.0,6093.44,6.0,New / Promising
C00196,Ira Singh,ira.singh196@example.com,Hyderabad,Telangana,2023-04-22,VIP,14.0,8.0,68748.73,9.0,At Risk (was loyal)
C00197,Amit Malhotra,amit.malhotra197@example.com,Jaipur,Rajasthan,2022-06-21,New,589.0,2.0,7958.29,8.0,New / Promising
C00198,Amit Nair,amit.nair198@example.com,Hyderabad,Telangana,2024-09-14,Regular,,,,,
C00199,Vihaan Kulkarni,vihaan.kulkarni199@example.com,Lucknow,Uttar Pradesh,2022-01-27,VIP,27.0,3.0,40414.97,8.0,At Risk (was loyal)
C00200,Ira Joshi,ira.joshi200@example.com,Lucknow,Uttar Pradesh,2023-02-11,Loyal,400.0,3.0,24197.41,10.0,Champions
C00201,Aditya Kulkarni,aditya.kulkarni201@example.com,Kolkata,West Bengal,2023-12-09,Loyal,291.0,1.0,32955.94,8.0,New / Promising
C00202,Vihaan Mehta,vihaan.mehta202@example.com,Pune,Maharashtra,2024-05-20,New,,,,,
